,name,position,targets,receptions,catch percentage,yards,touchdowns
0,Cooper Kupp,WR,191,145,75.9%,1947,16
1,Davante Adams,WR,169,123,72.8%,1553,11
2,Tyreek Hill,WR,159,111,69.8%,1239,9
3,Justin Jefferson,WR,167,108,64.7%,1616,10
4,Mark Andrews,TE,153,107,69.9%,1361,9
5,Diontae Johnson,WR,169,107,63.3%,1161,8
6,Keenan Allen,WR,157,106,67.5%,1138,6
7,Jaylen Waddl,WR,140,104,74.3%,1015,6
8,Stefon Diggs,WR,164,103,62.8%,1225,10
9,Hunter Renfrow,WR,128,103,80.5%,1038,9
10,Chris Godwi,WR,127,98,77.2%,1103,5
11,D.J. Moor,WR,163,93,57.1%,1157,4
12,Travis Kelce,TE,134,92,68.7%,1125,9
13,Marquise Brow,WR,146,91,62.3%,1008,6
14,Brandin Cook,WR,134,90,67.2%,1037,6
15,Amon-Ra St. Brow,WR,119,90,75.6%,912,5
16,Michael Pittman Jr,WR,129,88,68.2%,1082,6
17,Jakobi Meyer,WR,126,83,65.9%,866,2
18,Cole Beasle,WR,112,82,73.2%,693,1
19,Ja'Marr Chase,WR,128,81,63.3%,1455,13
20,Darnell Moone,WR,140,81,57.9%,1055,4
21,CeeDee Lamb,WR,120,79,65.8%,1102,6
22,Dalton Schult,TE,104,78,75.0%,808,8
23,Christian Kir,WR,103,77,74.8%,982,5
24,Terry McLauri,WR,130,77,59.2%,1053,5
25,Deebo Samuel,WR,121,77,63.6%,1405,6
26,Mike William,WR,129,76,58.9%,1146,9
27,D.K. Metcal,WR,129,75,58.1%,967,12
28,Zach Ert,,112,74,66.1%,763,5
29,,,,,,,
30,Mike Evans,WR,114,74,64.9%,1035,14
31,Najee Harris,RB,94,74,78.7%,467,3
32,Tee Higgin,WR,110,74,67.3%,1091,6
33,Mike Gesick,TE,112,73,65.2%,780,2
34,Marvin Jone,WR,120,73,60.8%,832,4
35,Tyler Locket,WR,107,73,68.2%,1175,8
36,George Kittle,TE,94,71,75.5%,910,6
37,Austin Ekele,RB,94,70,74.5%,647,8
38,Leonard Fournett,RB,84,69,82.1%,454,2
39,Amari Coope,WR,104,68,65.4%,865,8
40,Noah Fan,TE,90,68,75.6%,670,4
41,Kyle Pitts,TE,110,68,61.8%,1026,1
42,Tyler Boy,wr,94,67,71.3%,828,5
43,Adam Thiele,WR,95,67,70.5%,726,10
44,Russell Gag,WR,94,66,70.2%,770,4
45,DeVonta Smit,WR,104,64,61.5%,916,5
46,A.J. Brow,WR,105,63,60.0%,869,5
47,Laviska Shenault Jr,WR,100,63,63.0%,619,0
48,D'Andre Swif,rb,78,62,79.5%,452,2
49,Tyler Conkli,TE,87,61,70.1%,593,3
50,Tyler Higbe,TE,85,61,71.8%,560,5
51,T.J. Hockenso,TE,84,61,72.6%,583,4
52,Pat Freiermut,TE,79,60,75.9%,497,7
53,Cole Kme,TE,93,60,64.5%,612,0
54,Chase Claypoo,WR,105,59,56.2%,860,2
55,Mecole Hardma,WR,83,59,71.1%,693,2
56,Courtland Sutto,WR,98,58,59.2%,776,2
57,Brandon Aiyu,WR,84,56,66.7%,826,5
58,Dallas Goeder,TE,76,56,73.7%,830,4
59,Kendrick Bourn,wr,70,55,78.6%,800,5
60,,,,,,,
61,Rob Gronkowsk,TE,89,55,61.8%,802,6
62,Darren Walle,TE,93,55,59.1%,665,2
