0,Cooper Kupp,WR,191,145,0.76,1947,16
1,Davante Adams,WR,169,123,0.73,1553,11
2,Tyreek Hill,WR,159,111,0.70,1239,9
3,Justin Jefferson,WR,167,108,0.65,1616,10
4,Mark Andrews,TE,153,107,0.70,1361,9
5,Diontae Johnson,WR,169,107,0.63,1161,8
6,Keenan Allen,WR,157,106,0.68,1138,6
7,Jaylen Waddl,WR,140,104,0.74,1015,6
8,Stefon Diggs,WR,164,103,0.63,1225,10
9,Hunter Renfrow,WR,128,103,0.81,1038,9
10,Chris Godwi,WR,127,98,0.77,1103,5
11,D.J. Moor,WR,163,93,0.57,1157,4
12,Travis Kelce,TE,134,92,0.69,1125,9
13,Marquise Brow,WR,146,91,0.62,1008,6
14,Brandin Cook,WR,134,90,0.67,1037,6
15,Amon-Ra St. Brow,WR,119,90,0.76,912,5
16,Michael Pittman Jr,WR,129,88,0.68,1082,6
17,Jakobi Meyer,WR,126,83,0.66,866,2
18,Cole Beasle,WR,112,82,0.73,693,1
19,Ja'Marr Chase,WR,128,81,0.63,1455,13
20,Darnell Moone,WR,140,81,0.58,1055,4
21,CeeDee Lamb,WR,120,79,0.66,1102,6
22,Dalton Schult,TE,104,78,0.75,808,8
23,Christian Kir,WR,103,77,0.75,982,5
24,Terry McLauri,WR,130,77,0.59,1053,5
25,Deebo Samuel,WR,121,77,0.64,1405,6
26,Mike William,WR,129,76,0.59,1146,9
27,D.K. Metcal,WR,129,75,0.58,967,12
28,Zach Ert,TE,112,74,0.66,763,5
30,Mike Evans,WR,114,74,0.65,1035,14
31,Najee Harris,RB,94,74,0.79,467,3
32,Tee Higgin,WR,110,74,0.67,1091,6
33,Mike Gesick,TE,112,73,0.65,780,2
34,Marvin Jone,WR,120,73,0.61,832,4
35,Tyler Locket,WR,107,73,0.68,1175,8
36,George Kittle,TE,94,71,0.76,910,6
37,Austin Ekele,RB,94,70,0.75,647,8
38,Leonard Fournett,RB,84,69,0.82,454,2
39,Amari Coope,WR,104,68,0.65,865,8
40,Noah Fan,TE,90,68,0.76,670,4
41,Kyle Pitts,TE,110,68,0.62,1026,1
42,Tyler Boy,WR,94,67,0.71,828,5
43,Adam Thiele,WR,95,67,0.71,726,10
44,Russell Gag,WR,94,66,0.70,770,4
45,DeVonta Smit,WR,104,64,0.62,916,5
46,A.J. Brow,WR,105,63,0.60,869,5
47,Laviska Shenault Jr,WR,100,63,0.63,619,0
48,D'Andre Swif,RB,78,62,0.80,452,2
49,Tyler Conkli,TE,87,61,0.70,593,3
50,Tyler Higbe,TE,85,61,0.72,560,5
51,T.J. Hockenso,TE,84,61,0.73,583,4
52,Pat Freiermut,TE,79,60,0.76,497,7
53,Cole Kme,TE,93,60,0.65,612,0
54,Chase Claypoo,WR,105,59,0.56,860,2
55,Mecole Hardma,WR,83,59,0.71,693,2
56,Courtland Sutto,WR,98,58,0.59,776,2
57,Brandon Aiyu,WR,84,56,0.67,826,5
58,Dallas Goeder,TE,76,56,0.74,830,4
59,Kendrick Bourn,WR,70,55,0.79,800,5
61,Rob Gronkowsk,TE,89,55,0.62,802,6
62,Darren Walle,TE,93,55,0.59,665,2
63,A.J. Gree,WR,92,54,0.59,848,3
64,Josh Jacob,RB,64,54,0.84,348,0
65,Rondale Moor,WR,64,54,0.84,435,1
66,Robbie Anderso,WR,110,53,0.48,519,5
67,Tim Patric,WR,85,53,0.62,734,5
68,Aaron Jone,RB,65,52,0.80,391,6
69,Jarvis Landr,WR,87,52,0.60,570,2
70,Cordarrelle Patterso,RB,69,52,0.75,548,5
71,Jamison Crowde,WR,71,51,0.72,447,2
72,Hunter Henr,TE,75,50,0.67,603,9
73,Van Jefferso,WR,89,50,0.56,802,6
74,K.J. Osbor,WR,82,50,0.61,655,7
75,Myles Gaski,RB,63,49,0.78,234,4
76,Dawson Kno,TE,71,49,0.69,587,9
77,C.J. Uzoma,TE,63,49,0.78,493,5
78,Jared Coo,TE,83,48,0.58,564,4
79,Gerald Everet,TE,63,48,0.76,478,4
80,Kalif Raymon,WR,71,48,0.68,576,4
81,Ezekiel Elliot,RB,65,47,0.72,287,2
82,Zay Jone,WR,70,47,0.67,546,1
83,Alvin Kamara,RB,67,47,0.70,439,5
84,Darrel William,RB,57,47,0.83,452,2
85,Rashod Batema,WR,68,46,0.68,515,1
86,Braxton Berrios,WR,65,46,0.71,431,2
87,Marquez Callawa,WR,84,46,0.55,698,6
88,Evan Engra,TE,73,46,0.63,408,3
89,Cedrick Wilson Jr,WR,61,45,0.74,602,6
90,Robert Wood,WR,69,45,0.65,556,4
92,Odell Beckham Jr,WR,82,44,0.54,537,5
93,Mike Davi,RB,58,44,0.76,259,1
94,Chase Edmond,RB,53,43,0.81,311,0
95,J.D. McKissi,WR,53,43,0.81,397,2
96,Elijah Moor,WR,77,43,0.56,538,5
97,Quez Watkin,WR,62,43,0.69,647,1
98,Javonte William,RB,53,43,0.81,316,3
99,Antonio Brow,WR,62,42,0.68,545,4
100,Antonio Gibson,RB,52,42,0.81,294,3
101,DeAndre Hopkin,WR,64,42,0.66,572,8
102,Joe Mixon,RB,48,42,0.88,314,3
103,David Montgomer,RB,51,42,0.82,301,0
104,Byron Pringl,WR,60,42,0.70,568,5
105,Emmanuel Sander,WR,72,42,0.58,626,4
106,Saquon Barkle,RB,57,41,0.72,263,2
107,Brandon Bolde,RB,49,41,0.84,405,2
108,Adam Humphrie,WR,62,41,0.66,383,0
109,Devontae Booke,RB,45,40,0.89,268,1
110,Nyheim Hine,RB,57,40,0.70,310,1
111,Allen Lazard,WR,60,40,0.67,513,8
112,DeVante Parke,WR,73,40,0.55,515,2
113,Devin Singletar,RB,50,40,0.80,228,1
114,Jonathan Taylor,RB,51,40,0.78,360,2
115,Ray-Ray McClou,WR,66,39,0.59,277,0
116,Tony Pollar,RB,46,39,0.85,337,0
117,Kadarius Tone,WR,57,39,0.68,420,0
118,Ameer Abdulla,RB,53,38,0.72,289,1
119,Austin Hoope,TE,61,38,0.62,345,3
120,Jerry Jeud,WR,56,38,0.68,467,0
121,Zach Pasca,WR,69,38,0.55,384,3
123,Allen Robinso,WR,66,38,0.58,410,1
124,Nick Westbrook-Ikhin,WR,57,38,0.67,476,4
125,Nelson Agholo,WR,64,37,0.58,473,3
126,James Conner,RB,39,37,0.95,375,3
127,Kenny Gollada,WR,76,37,0.49,521,0
128,Christian McCaffre,RB,41,37,0.90,343,1
129,Michael Carte,RB,55,36,0.66,325,0
130,Deonte Hart,WR,59,36,0.61,570,3
131,Tyler Johnso,WR,55,36,0.66,360,0
132,David Njok,TE,53,36,0.68,475,4
133,Sterling Shepar,WR,53,36,0.68,366,1
134,Dan Arnol,WR,52,35,0.67,408,0
135,Gabriel Davi,WR,63,35,0.56,549,6
136,Michael Gallu,WR,62,35,0.57,445,2
